"sponsor_name","phase","trial_count","rank_within_phase"
Imugene Limited,PHASE1,1,92
Huahui Health,PHASE1,1,92
"Immunome, Inc.",PHASE1,1,92
Hummingbird Bioscience,PHASE1,1,92
ImmuneOnco Biopharmaceuticals (Shanghai) Inc.,PHASE1,1,92
Zelluna Immunotherapy AS,PHASE1,1,92
Hutchison Medipharma Limited,PHASE1,1,92
"Iambic Therapeutics, Inc",PHASE1,1,92
AmpliMed Corporation,PHASE1,1,92
"Amsterdam UMC, location VUmc",PHASE1,1,92
University of Vermont,PHASE1,1,92
Angela Taber MD,PHASE1,1,92
Anhui Provincial Hospital,PHASE1,1,92
Yuhan Corporation,PHASE1,1,92
University of Tennessee,PHASE1,1,92
"Abbisko Therapeutics Co, Ltd",PHASE1,1,92
University of Pittsburgh,PHASE1,1,92
University of Pennsylvania,PHASE1,1,92
University of Oxford,PHASE1,1,92
Aromics Therapeutics,PHASE1,1,92
"ArriVent BioPharma, Inc.",PHASE1,1,92
Asan Medical Center,PHASE1,1,92
Asbestos Diseases Research Foundation,PHASE1,1,92
Ascentage Pharma Group Inc.,PHASE1,1,92
Assistance Publique Hopitaux De Marseille,PHASE1,1,92
University of Cologne,PHASE1,1,92
University of Chicago,PHASE1,1,92
"University of California, San Francisco",PHASE1,1,92
Atlantic Health System,PHASE1,1,92
"Atreca, Inc.",PHASE1,1,92
"Xuanzhu Biopharmaceutical Co., Ltd.",PHASE1,1,92
AvenCell Europe GmbH,PHASE1,1,92
"Avistone Biotechnology Co., Ltd.",PHASE1,1,92
Barbara Ann Karmanos Cancer Institute,PHASE1,1,92
Bavarian Nordic,PHASE1,1,92
Abbott,PHASE1,1,92
BeiGene,PHASE1,1,92
"Turnstone Biologics, Corp.",PHASE1,1,92
"Turning Point Therapeutics, Inc.",PHASE1,1,92
TransMolecular,PHASE1,1,92
Transgene,PHASE1,1,92
"Tragara Pharmaceuticals, Inc.",PHASE1,1,92
"Xencor, Inc.",PHASE1,1,92
Acrotech Biopharma Inc.,PHASE1,1,92
Tongji University,PHASE1,1,92
Tocagen Inc.,PHASE1,1,92
Zymeworks BC Inc.,PHASE1,1,92
"Benjamin Movsas, M.D.",PHASE1,1,92
BerGenBio ASA,PHASE1,1,92
Adaptimmune,PHASE1,1,92
ADC Therapeutics S.A.,PHASE1,1,92
"Tianjin Hemay Pharmaceutical Co., Ltd",PHASE1,1,92
The University of Texas Health Science Center at San Antonio,PHASE1,1,92
The Netherlands Cancer Institute,PHASE1,1,92
BioEclipse Therapeutics,PHASE1,1,92
Biomea Fusion Inc.,PHASE1,1,92
Biomica Ltd.,PHASE1,1,92
BioNTech SE,PHASE1,1,92
William Zeitler,PHASE1,1,92
The First Affiliated Hospital of Zhengzhou University,PHASE1,1,92
"Biosplice Therapeutics, Inc.",PHASE1,1,92
"Biotech Pharmaceutical Co., Ltd.",PHASE1,1,92
The First Affiliated Hospital of Guangzhou Medical University,PHASE1,1,92
Biotroy Therapeutics,PHASE1,1,92
"Advaxis, Inc.",PHASE1,1,92
"Advenchen Laboratories, LLC",PHASE1,1,92
West Virginia University,PHASE1,1,92
"Bolt Biotherapeutics, Inc.",PHASE1,1,92
Tempest Therapeutics,PHASE1,1,92
Brown University,PHASE1,1,92
Takeda,PHASE1,1,92
"Taiho Pharmaceutical Co., Ltd.",PHASE1,1,92
Swiss Cancer Institute,PHASE1,1,92
"Suzhou Zelgen Biopharmaceuticals Co.,Ltd",PHASE1,1,92
"Cancer Institute and Hospital, Chinese Academy of Medical Sciences",PHASE1,1,92
"Suzhou Genhouse Bio Co., Ltd.",PHASE1,1,92
"Sutro Biopharma, Inc.",PHASE1,1,92
Cancer Research UK,PHASE1,1,92
Affiliated Hospital of Jiangnan University,PHASE1,1,92
Susanne Arnold,PHASE1,1,92
Sun Yat-sen University,PHASE1,1,92
Carcinex Inc,PHASE1,1,92
Case Comprehensive Cancer Center,PHASE1,1,92
suhaichuan,PHASE1,1,92
Steen Riisgaard Mortensen,PHASE1,1,92
Celgene Corporation,PHASE1,1,92
Wenxiang Wang,PHASE1,1,92
Weill Medical College of Cornell University,PHASE1,1,92
Stanford University,PHASE1,1,92
Celon Pharma SA,PHASE1,1,92
"Centaurus Biopharma Co., Ltd.",PHASE1,1,92
Sinocelltech Ltd.,PHASE1,1,92
Sierra Oncology LLC - a GSK company,PHASE1,1,92
Sichuan University,PHASE1,1,92
"Sichuan Luzhou Buchang Biopharmaceutical Co., Ltd.",PHASE1,1,92
Centre Hospitalier Universitaire Vaudois,PHASE1,1,92
Chang Chen,PHASE1,1,92
"Changchun GeneScience Pharmaceutical Co., Ltd.",PHASE1,1,92
"Shenzhen TargetRx Co., Ltd.",PHASE1,1,92
Shanghai Zhongshan Hospital,PHASE1,1,92
Chao Huang,PHASE1,1,92
Shanghai University of Traditional Chinese Medicine,PHASE1,1,92
"Shanghai Junshi Bioscience Co., Ltd.",PHASE1,1,92
Shanghai JMT-Bio Inc.,PHASE1,1,92
Shanghai Jiao Tong University School of Medicine,PHASE1,1,92
"Chia Tai Tianqing Pharmaceutical Group Nanjing Shunxin Pharmaceutical Co., Ltd.",PHASE1,1,92
AHS Cancer Control Alberta,PHASE1,1,92
Shanghai Fosun Pharmaceutical Industrial Development Co. Ltd.,PHASE1,1,92
"Shanghai Bao Pharmaceuticals Co., Ltd.",PHASE1,1,92
"Shandong Boan Biotechnology Co., Ltd",PHASE1,1,92
Chong Kun Dang Pharmaceutical,PHASE1,1,92
"Chongqing Precision Biotech Co., Ltd",PHASE1,1,92
Second Affiliated Hospital of Guangzhou Medical University,PHASE1,1,92
"Seagen, a wholly owned subsidiary of Pfizer",PHASE1,1,92
Chugai Pharmaceutical,PHASE1,1,92
"Samsung Bioepis Co., Ltd.",PHASE1,1,92
Sairopa B.V.,PHASE1,1,92
AIDS Malignancy Consortium,PHASE1,1,92
R-Pharm,PHASE1,1,92
"Cogent Biosciences, Inc.",PHASE1,1,92
Compass Therapeutics,PHASE1,1,92
Concordia Laboratories Inc.,PHASE1,1,92
Corcept Therapeutics,PHASE1,1,92
Corixa Corporation,PHASE1,1,92
"Corregene Biotechnology Co., Ltd",PHASE1,1,92
"Corvus Pharmaceuticals, Inc.",PHASE1,1,92
"Curis, Inc.",PHASE1,1,92
"Cytocraft Biopharmaceutical Co., Ltd.",PHASE1,1,92
"Qingdao Sino-Cell Biomedicine Co., Ltd.",PHASE1,1,92
"Daiichi Sankyo Co., Ltd.",PHASE1,1,92
Dalian University,PHASE1,1,92
Dana-Farber Cancer Institute,PHASE1,1,92
Akamis Bio,PHASE1,1,92
Providence Health & Services,PHASE1,1,92
Precision Biotech Taiwan Corp.,PHASE1,1,92
Pierre Fabre Medicament,PHASE1,1,92
PharmaMar,PHASE1,1,92
"David M. Jackman, MD",PHASE1,1,92
"Day One Biopharmaceuticals, Inc.",PHASE1,1,92
Debiopharm International SA,PHASE1,1,92
DeuterOncology,PHASE1,1,92
Dizal Pharmaceuticals,PHASE1,1,92
Wake Forest University Health Sciences,PHASE1,1,92
"Peter MacCallum Cancer Centre, Australia",PHASE1,1,92
Peking University Cancer Hospital & Institute,PHASE1,1,92
Dr. Ronnie Shapira,PHASE1,1,92
Peking Union Medical College Hospital,PHASE1,1,92
Eckhard Podack,PHASE1,1,92
"PAQ Therapeutics, Inc.",PHASE1,1,92
Palobiofarma SL,PHASE1,1,92
Edward Patz,PHASE1,1,92
Ottawa Hospital Research Institute,PHASE1,1,92
Oscotec Inc.,PHASE1,1,92
"Oncoethix GmbH, a subsidiary of Merck & Co., Inc. (Rahway, New Jersey USA)",PHASE1,1,92
Elicio Therapeutics,PHASE1,1,92
Olivia Newton-John Cancer Research Institute,PHASE1,1,92
"Olema Pharmaceuticals, Inc.",PHASE1,1,92
OHSU Knight Cancer Institute,PHASE1,1,92
"Vyriad, Inc.",PHASE1,1,92
EMD Serono,PHASE1,1,92
NYU Langone Health,PHASE1,1,92
"EMD Serono Research & Development Institute, Inc.",PHASE1,1,92
