"nct_id","phase","overall_status","enrollment","sponsor_name"
NCT06929936,PHASE2,RECRUITING,33,The First Affiliated Hospital of Xiamen University
NCT07579221,PHASE1/PHASE2,NOT_YET_RECRUITING,17,M.D. Anderson Cancer Center
NCT02503358,PHASE1,COMPLETED,23,OHSU Knight Cancer Institute
NCT03130192,,UNKNOWN,60,Chung Shan Medical University
NCT07671560,PHASE4,NOT_YET_RECRUITING,80,Qiming Wang
NCT00783705,PHASE2,COMPLETED,85,National Cancer Institute (NCI)
NCT02374645,PHASE1,COMPLETED,64,Hutchison Medipharma Limited
NCT01772732,PHASE1,UNKNOWN,30,"Jiangsu Simcere Pharmaceutical Co., Ltd."
NCT01837511,,COMPLETED,377,GlaxoSmithKline
NCT02215356,PHASE2,UNKNOWN,120,"Betta Pharmaceuticals Co., Ltd."
NCT03940703,PHASE2,ACTIVE_NOT_RECRUITING,140,"EMD Serono Research & Development Institute, Inc."
NCT04900935,NA,RECRUITING,70,Massachusetts General Hospital
NCT05102214,PHASE1/PHASE2,UNKNOWN,150,Shanghai Henlius Biotech
NCT01966003,PHASE3,COMPLETED,642,Amgen
NCT00887783,PHASE2,COMPLETED,117,Odense University Hospital
NCT02803333,,COMPLETED,75,H. Lee Moffitt Cancer Center and Research Institute
NCT07660055,PHASE1,RECRUITING,156,Novartis Pharmaceuticals
NCT06238882,NA,RECRUITING,74,Instituto Nacional de Cancerologia de Mexico
NCT01668823,PHASE1,COMPLETED,17,Roswell Park Cancer Institute
NCT02259621,PHASE2,ACTIVE_NOT_RECRUITING,39,Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins
NCT06068049,,RECRUITING,500,AstraZeneca
NCT04806412,NA,RECRUITING,100,Naestved Hospital
NCT07351565,PHASE1,NOT_YET_RECRUITING,22,Chang Chen
NCT02380196,,COMPLETED,100,Abramson Cancer Center at Penn Medicine
NCT03403127,NA,COMPLETED,36,"University Health Network, Toronto"
NCT00354562,PHASE1/PHASE2,TERMINATED,75,Abbott
NCT04148898,PHASE2,UNKNOWN,80,Second Affiliated Hospital of Nanchang University
NCT04765059,PHASE3,ACTIVE_NOT_RECRUITING,98,AstraZeneca
NCT02767804,PHASE3,ACTIVE_NOT_RECRUITING,290,"Xcovery Holdings, Inc."
