"nct_id","phase","overall_status","enrollment","start_date"
NCT05615142,PHASE1,ACTIVE_NOT_RECRUITING,9,2021-12-15
NCT04159025,NA,COMPLETED,20,2020-01-08
NCT01771289,PHASE2,UNKNOWN,50,2013-01-31
NCT02495636,PHASE2,WITHDRAWN,0,2015-07-31
NCT01188486,NA,TERMINATED,12,2010-08-31
NCT07624214,PHASE1,NOT_YET_RECRUITING,198,2026-07-31
NCT01320501,PHASE4,SUSPENDED,100,2009-10-31
NCT07610798,PHASE1/PHASE2,RECRUITING,178,2026-06-01
NCT06612840,PHASE1,RECRUITING,20,2024-10-16
NCT01667562,PHASE3,COMPLETED,375,2012-01-20
NCT06239623,PHASE1,UNKNOWN,60,2022-04-02
NCT00770588,PHASE4,COMPLETED,296,2008-09-30
NCT00064636,PHASE1,TERMINATED,46,2002-12-31
NCT05638425,,UNKNOWN,20,2021-12-31
NCT05902728,PHASE1,COMPLETED,20,2023-07-04
NCT03392246,PHASE2,ACTIVE_NOT_RECRUITING,25,2018-01-31
NCT07132918,PHASE2,RECRUITING,60,2025-10-08
NCT00995761,PHASE2,COMPLETED,48,2009-10-31
NCT01658332,NA,TERMINATED,59,2012-06-30
NCT06102057,PHASE2,RECRUITING,110,2024-07-01
NCT05267392,PHASE1/PHASE2,UNKNOWN,30,2021-02-16
NCT00372515,PHASE1,COMPLETED,7,2006-06-30
NCT06603675,,NOT_YET_RECRUITING,100,2024-09-30
NCT07206498,PHASE1/PHASE2,RECRUITING,48,2025-10-17
NCT01451632,PHASE1,COMPLETED,48,2011-10-31
NCT06216301,PHASE3,RECRUITING,734,2024-07-31
NCT06686602,,COMPLETED,13759,2024-07-09
NCT05070247,PHASE1/PHASE2,TERMINATED,61,2022-04-14
NCT02456246,NA,COMPLETED,45,2015-05-31
NCT01250119,PHASE2,COMPLETED,688,2011-03-31
NCT06876402,,ACTIVE_NOT_RECRUITING,367,2013-09-09
NCT04140500,PHASE1/PHASE2,ACTIVE_NOT_RECRUITING,170,2019-11-11
NCT02054052,PHASE2,COMPLETED,22,2014-01-31
NCT01742767,PHASE2,UNKNOWN,,2012-11-30
NCT01795352,,COMPLETED,187,2013-03-31
NCT07491211,,ACTIVE_NOT_RECRUITING,300,2019-07-19
NCT01405586,PHASE3,UNKNOWN,299,2011-03-31
NCT02411448,PHASE3,ACTIVE_NOT_RECRUITING,545,2015-05-06
NCT03390686,PHASE3,ACTIVE_NOT_RECRUITING,650,2019-11-15
NCT04530708,NA,UNKNOWN,162,2017-02-01
NCT00870532,PHASE1,COMPLETED,52,2008-06-30
